reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
17b368be-cbb0-40bc-b3b0-1249dc7ad7b9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus banyak bo ttt ff,4,0,,2024-09-12 02:36:02,,,
6f699c62-db72-48e0-b2c8-bb35dabd217a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Ngebug, habis download, login, keluar bentar, masuk aplikasi gak bisa dibuka lagi android 10 realme 5 pro",1,0,36.4.4,2024-09-12 02:35:40,,,36.4.4
9db23a70-2a38-4b07-8f50-1993a9eb3e46,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Lemot sk x,4,0,,2024-09-12 02:34:44,,,
07654d65-43e3-4096-af65-45ab67363622,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagus dan keren,4,0,,2024-09-12 02:33:04,,,
804f13d3-2a54-439a-85fa-f1c3b38c1893,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Senang bisa buat hiburan video apa saja ada di sini,4,0,,2024-09-12 02:32:08,,,
43398f1d-0fb5-437d-a54f-86904e858298,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"apk apa ini,masa gua 4 hari berturut turut engga ada api nya aneh banget,gimana sih atmin,gajelas banget sih ini atmin,tolong dong di perbaiki atmin",1,0,36.4.4,2024-09-12 02:31:42,,,36.4.4
b9bea865-1669-4b63-871e-33764ede8e04,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Kok akhir akhir ini tik tok shop kok sering Gonta ganti sendiri sihh ke yg dulu nga suka sy,1,0,36.3.3,2024-09-12 02:30:43,,,36.3.3
7d2a0f1e-ea21-4e9c-98aa-241ea1dc1ebb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ok,5,0,,2024-09-12 02:27:33,,,
7d602a2c-84ab-41b2-86dd-7cf8b064bfce,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sering lemot dan tidak bisa masuk ke tiktok stak di logo tiktok doang,1,0,,2024-09-12 02:27:19,,,
f56048d7-413e-4bf3-a8d2-8f2f395e04bd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasinya bagus, cuman pas aku pake kok loading di logonya ya, padahal internetnya bagus, dan juga habis loading di logo tiktoknya itu. Langsung jadi mati, dan panas, jadi tolong diperbaiki ya",1,0,36.3.3,2024-09-12 02:24:47,,,36.3.3
eb4127b1-2e43-480f-b604-c3383fbf91b4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Susah di buka,1,0,,2024-09-12 02:24:18,,,
11234ec2-3245-495b-b966-7d5a7dfa9edd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,#jangkauwanluas #fypkonten #pertukangan #@satriya-e6x @sorotan @pemirsa,5,0,,2024-09-12 02:22:13,,,
6432764b-71d6-4d75-9cb9-522fa42816fb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tiap buka tiktok kuar mlu kurng bgus nya tuh aja,3,0,36.3.3,2024-09-12 02:22:11,,,36.3.3
e8241172-439c-403d-9966-45920fd42cc5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Kapan biaa,5,0,36.4.4,2024-09-12 02:20:40,,,36.4.4
